Place Name,State,District,City,img_source,Link,dominant_topic,probability
Chopta,Uttarakhand,,Ukhimath,https://media-cdn.tripadvisor.com/media/photo-s/07/a1/e7/3a/chopta.jpg,https://www.tripadvisor.in/Attraction_Review-g1597077-d4137887-Reviews-Chopta-Ukhimath_Rudraprayag_District_Uttarakhand.html,Mountains/Landscapes/Waterfalls,0.89
Bandhavgarh National Park,Madhya Pradesh,,Umaria,https://media-cdn.tripadvisor.com/media/photo-s/11/a1/2d/6a/photo4jpg.jpg,https://www.tripadvisor.in/Attraction_Review-g679039-d13321869-Reviews-Bandhavgarh_National_Park-Bandhavgarh_National_Park_Umaria_District_Madhya_Prade.html,Wildlife/Forests/National Parks,0.64
Paradise Beach,Karnataka,Uttar Kannada District,Gokarna,https://media-cdn.tripadvisor.com/media/photo-s/02/64/61/65/looking-fine-from-some.jpg,https://www.tripadvisor.in/Attraction_Review-g651646-d2630802-Reviews-Paradise_Beach-Gokarna_Uttar_Kannada_District_Karnataka.html,Mountains/Landscapes/Waterfalls,0.55
Kudle Beach,Karnataka,Uttar Kannada District,Gokarna,https://media-cdn.tripadvisor.com/media/photo-s/03/0b/d6/67/sunset.jpg,https://www.tripadvisor.in/Attraction_Review-g651646-d3461829-Reviews-Kudle_Beach-Gokarna_Uttar_Kannada_District_Karnataka.html,Beach/Seashores,0.83
Gangotri Temple,Uttarakhand,Uttarkashi District,Gangotri,https://media-cdn.tripadvisor.com/media/photo-s/02/68/88/be/filename-img-3660-jpg.jpg,https://www.tripadvisor.in/Attraction_Review-g1893702-d2349635-Reviews-Gangotri_Temple-Gangotri_Uttarkashi_District_Uttarakhand.html,Mountains/Landscapes/Waterfalls,0.38
Lukshmi Vilas Palace,Gujarat,Vadodara District,Vadodara,https://media-cdn.tripadvisor.com/media/photo-s/04/4b/53/de/palace-front.jpg,https://www.tripadvisor.in/Attraction_Review-g297613-d2008096-Reviews-Lukshmi_Vilas_Palace-Vadodara_Vadodara_District_Gujarat.html,Palace/Forts/Ancient Buildings,0.59
Valley of Flowers National Park,Uttarakhand,Chamoli District,Pithoragarh,https://media-cdn.tripadvisor.com/media/photo-s/06/9c/2c/df/valley-of-flowers-national.jpg,https://www.tripadvisor.in/Attraction_Review-g297686-d1142229-Reviews-Valley_of_Flowers_National_Park-Uttarakhand.html,Mountains/Landscapes/Waterfalls,0.73
Banaras Ghats,Uttar Pradesh,Varanasi District,Varanasi,https://media-cdn.tripadvisor.com/media/photo-s/04/b1/33/f8/banaras-ghats.jpg,https://www.tripadvisor.in/Attraction_Review-g297685-d317360-Reviews-Banaras_Ghats-Varanasi_Varanasi_District_Uttar_Pradesh.html,Riverbank/Pilgrimage,0.73
Ganga Aarti,Uttar Pradesh,Varanasi District,Varanasi,https://media-cdn.tripadvisor.com/media/photo-s/12/f6/12/c1/img-20180513-201246-largejpg.jpg,https://www.tripadvisor.in/Attraction_Review-g297685-d14049629-Reviews-Ganga_Aarti-Varanasi_Varanasi_District_Uttar_Pradesh.html,Riverbank/Pilgrimage,0.68
Dasaswamedh Ghat,Uttar Pradesh,Varanasi District,Varanasi,https://media-cdn.tripadvisor.com/media/photo-s/09/f0/86/f7/dasaswamedh-ghat.jpg,https://www.tripadvisor.in/Attraction_Review-g297685-d324472-Reviews-Dasaswamedh_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,Riverbank/Pilgrimage,0.71
Ganges River,Uttar Pradesh,,Varanasi,https://media-cdn.tripadvisor.com/media/photo-s/11/2e/83/cc/photo4jpg.jpg,https://www.tripadvisor.in/Attraction_Review-g297685-d319858-Reviews-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,Riverbank/Pilgrimage,0.76
Banaras Hindu University,Uttar Pradesh,,Varanasi,https://media-cdn.tripadvisor.com/media/photo-s/0d/8e/65/22/historic-banaras-hindu.jpg,https://www.tripadvisor.in/Attraction_Review-g297685-d11641040-Reviews-Banaras_Hindu_University-Varanasi_Varanasi_District_Uttar_Pradesh.html,Museums/Indian Culture & History,0.45
Dhamek Stupa,Uttar Pradesh,,Varanasi,https://media-cdn.tripadvisor.com/media/photo-s/05/4c/49/9f/dhammek-stupa.jpg,https://www.tripadvisor.in/Attraction_Review-g297685-d4096946-Reviews-Dhamek_Stupa-Varanasi_Varanasi_District_Uttar_Pradesh.html,Monuments/Historical Architectures/Spiritual Attractions,0.72
Church of our Lady of Velankanni,Tamil Nadu,,Velankanni,https://media-cdn.tripadvisor.com/media/photo-s/02/30/b0/b6/church-of-our-lady-of.jpg,https://www.tripadvisor.in/Attraction_Review-g1162486-d2257695-Reviews-Church_of_our_Lady_of_Velankanni-Velankanni_Nagapattinam_District_Tamil_Nadu.html,Temples/Church/Worship,0.78
Gol Gumbaz,Karnataka,Vijayapura District,Vijayapura,https://media-cdn.tripadvisor.com/media/photo-s/01/7c/3c/50/the-gol-gumbaz.jpg,https://www.tripadvisor.in/Attraction_Review-g13854965-d1224242-Reviews-Gol_Gumbaz-Vijayapura_Vijayapura_District_Karnataka.html,Monuments/Historical Architectures/Spiritual Attractions,0.49
Kailasagiri,Andhra Pradesh,,Visakhapatnam (Vizag),https://media-cdn.tripadvisor.com/media/photo-s/02/66/b8/6a/kailasagiri-park.jpg,https://www.tripadvisor.in/Attraction_Review-g297588-d3269402-Reviews-Kailasagiri-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Gardens/City Parks,0.43
Borra Caves,Andhra Pradesh,Visakhapatnam District,Visakhapatnam (Vizag),https://media-cdn.tripadvisor.com/media/photo-s/0f/52/f1/50/entrance.jpg,https://www.tripadvisor.in/Attraction_Review-g297588-d1204479-Reviews-Borra_Caves-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Monuments/Historical Architectures/Spiritual Attractions,0.45
Yarada Beach,Andhra Pradesh,Visakhapatnam District,Visakhapatnam (Vizag),https://media-cdn.tripadvisor.com/media/photo-s/01/c8/35/98/yarada-beach.jpg,https://www.tripadvisor.in/Attraction_Review-g297588-d1921864-Reviews-Yarada_Beach-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Beach/Seashores,0.58
Rishikonda Beach,Andhra Pradesh,Visakhapatnam District,Visakhapatnam (Vizag),https://media-cdn.tripadvisor.com/media/photo-s/02/66/b8/a0/rishikonda-beach.jpg,https://www.tripadvisor.in/Attraction_Review-g297588-d2324384-Reviews-Rishikonda_Beach-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Beach/Seashores,0.74
INS Kurusura Submarine Museum,Andhra Pradesh,Visakhapatnam District,Visakhapatnam (Vizag),https://media-cdn.tripadvisor.com/media/photo-s/02/0b/9f/ea/ins-kurusura-submarine.jpg,https://www.tripadvisor.in/Attraction_Review-g297588-d1749401-Reviews-INS_Kurusura_Submarine_Museum-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Museums/Indian Culture & History,0.7
TU 142 Air Craft Museum,Andhra Pradesh,Visakhapatnam District,Visakhapatnam (Vizag),https://media-cdn.tripadvisor.com/media/photo-s/12/dc/a8/f2/photo2jpg.jpg,https://www.tripadvisor.in/Attraction_Review-g297588-d14050688-Reviews-TU_142_Air_Craft_Museum-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Museums/Indian Culture & History,0.75
Chembra Peak,Kerala,Wayanad District,Kalpetta,https://media-cdn.tripadvisor.com/media/photo-s/03/63/93/3b/kalpetta.jpg,https://www.tripadvisor.in/Attraction_Review-g1232778-d1755039-Reviews-Chembra_Peak-Kalpetta_Wayanad_District_Kerala.html,Mountains/Landscapes/Waterfalls,0.96
